,symbol,ticker
0,NYSE:A,A
1,NYSE:AA,AA
2,AMEX:AAA,AAA
3,CBOE:AAAA,AAAA
4,CBOE:AAAU,AAAU
5,OTC:AABB,AABB
6,OTC:AABVF,AABVF
7,OTC:AACAF,AACAF
8,OTC:AACAY,AACAY
9,NASDAQ:AACB,AACB
10,NASDAQ:AACBU,AACBU
11,NASDAQ:AACG,AACG
12,NASDAQ:AACI,AACI
13,OTC:AACTF,AACTF
14,NASDAQ:AADR,AADR
15,OTC:AAFRF,AAFRF
16,OTC:AAGAF,AAGAF
17,OTC:AAGC,AAGC
18,OTC:AAGFF,AAGFF
19,OTC:AAGH,AAGH
20,OTC:AAGIY,AAGIY
21,OTC:AAGR,AAGR
22,OTC:AAIGF,AAIGF
23,OTC:AAIRF,AAIRF
24,NASDAQ:AAL,AAL
25,OTC:AALBF,AALBF
26,NASDAQ:AALG,AALG
27,NYSE:AAM,AAM
28,NASDAQ:AAME,AAME
29,NYSE:AAMI,AAMI
30,OTC:AAMMF,AAMMF
31,NASDAQ:AAOI,AAOI
32,NASDAQ:AAON,AAON
33,NYSE:AAP,AAP
34,NASDAQ:AAPB,AAPB
35,NASDAQ:AAPD,AAPD
36,NASDAQ:AAPG,AAPG
37,OTC:AAPI,AAPI
38,OTC:AAPJ,AAPJ
39,NASDAQ:AAPL,AAPL
40,CBOE:AAPR,AAPR
41,OTC:AAPT,AAPT
42,NASDAQ:AAPU,AAPU
43,CBOE:AAPW,AAPW
44,CBOE:AAPX,AAPX
45,CBOE:AAPY,AAPY
46,OTC:AAQL,AAQL
47,NASDAQ:AARD,AARD
48,OTC:AASP,AASP
49,OTC:AASZF,AASZF
50,NYSE:AAT,AAT
51,OTC:AATC,AATC
52,OTC:AATRL,AATRL
53,OTC:AATV,AATV
54,OTC:AAUAF,AAUAF
55,NYSE:AAUC,AAUC
56,OTC:AAUGF,AAUGF
57,OTC:AAUKF,AAUKF
58,CBOE:AAUM,AAUM
59,NASDAQ:AAUS,AAUS
60,NASDAQ:AAVM,AAVM
61,OTC:AAVMY,AAVMY
62,OTC:AAVVF,AAVVF
63,OTC:AAVXF,AAVXF
64,OTC:AAWH,AAWH
65,NASDAQ:AAXJ,AAXJ
66,NYSE:AB,AB
67,NASDAQ:ABAT,ABAT
68,OTC:ABBNY,ABBNY
